Site ID,Site Name,Start Year,End Year,Latitude,Longitude,Elevation (m),IGBP Type,,,,
AT-Neu,Neustift,2002,2012,47.11667,11.3175,970,GRA,,,,
AU-Emr,Emerald,2011,2013,-23.8587,148.4746,,GRA,,,,
AU-Rig,Riggs Creek,2011,2014,-36.6499,145.5759,,GRA,,,,
AU-Stp,Sturt Plains,2008,2014,-17.1507,133.3502,,GRA,,,,
BE-Bra,Brasschaat,1996,2014,51.30761,4.51984,16,MF,,,,
BE-Vie,Vielsalm,1996,2014,50.30493,5.99812,493,MF,,,,
CA-NS1,UCI-1850 burn site,2001,2005,55.87917,-98.48389,260,ENF,,,,
CA-NS3,UCI-1964 burn site,2001,2005,55.91167,-98.38222,260,ENF,,,,
CA-NS4,UCI-1964 burn site wet,2002,2005,55.91437,-98.380645,260,ENF,,,,
CA-NS5,UCI-1981 burn site,2001,2005,55.86306,-98.485,260,ENF,,,,
CA-NS6,UCI-1989 burn site,2001,2005,55.91667,-98.96444,244,OSH,,,,
CA-NS7,UCI-1998 burn site,2002,2005,56.63583,-99.94833,297,OSH,,,,
CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce",2003,2010,49.6925,-74.34206,382,ENF,,,,
CA-SF1,"Saskatchewan - Western Boreal, forest burned in 1977",2003,2006,54.48503,-105.81757,536,ENF,,,,
CA-SF2,"Saskatchewan - Western Boreal, forest burned in 1989",2001,2005,54.25392,-105.8775,520,ENF,,,,
CA-SF3,"Saskatchewan - Western Boreal, forest burned in 1998",2001,2006,54.09156,-106.00526,540,OSH,,,,
CH-Dav,Davos,1997,2014,46.81533,9.85591,1639,ENF,,,,
CH-Fru,Früebüel,2005,2014,47.11583,8.53778,982,GRA,,,,
CH-Lae,Laegern,2004,2014,47.47833,8.36439,689,MF,,,,
CH-Oe1,Oensingen grassland,2002,2008,47.28583,7.73194,450,GRA,,,,
CH-Oe2,Oensingen crop,2004,2014,47.28642,7.73375,452,CRO,,,,
CN-Cng,Changling,2007,2010,44.5934,123.5092,,GRA,,,,
DE-Akm,Anklam,2009,2014,53.86617,13.68342,-1,WET,,,,
DE-Gri,Grillenburg,2004,2014,50.95004,13.51259,385,GRA,,,,
DE-Hai,Hainich,2000,2012,51.07921,10.45217,430,DBF,,,,
DE-Kli,Klingenberg,2004,2014,50.89306,13.52238,478,CRO,,,,
DE-Lkb,Lackenberg,2009,2013,49.09962,13.30467,1308,ENF,,,,
DE-Obe,Oberbärenburg,2008,2014,50.78666,13.72129,734,ENF,,,,
DE-RuR,Rollesbroich,2011,2014,50.62191,6.30413,514.7,GRA,,,,
DE-RuS,Selhausen Juelich,2011,2014,50.86591,6.44714,102.755,CRO,,,,
DE-SfN,Schechenfilz Nord,2012,2014,47.80639,11.3275,590,WET,,,,
DE-Spw,Spreewald,2010,2014,51.89225,14.03369,61,WET,,,,
DE-Tha,Tharandt,1996,2014,50.96256,13.56515,385,ENF,,,,
DK-NuF,Nuuk Fen,2008,2014,64.1308,-51.3861,,WET,,,,
DK-Sor,Soroe,1996,2014,55.48587,11.64464,40,DBF,,,,
DK-ZaH,Zackenberg Heath,2003,2014,74.4732,-20.5503,,GRA,,,,
FI-Hyy,Hyytiala,1996,2014,61.84741,24.29477,181,ENF,,,,
FI-Lom,Lompolojankka,2007,2009,67.99724,24.20918,274,WET,,,,
FI-Sod,Sodankyla,2001,2014,67.36239,26.63859,180,ENF,,,,
IT-CA1,Castel d'Asso1,2011,2014,42.38041,12.02656,200,DBF,,,,
