SiteName,Lat,Lon,StartYear,EndYear,CenterYear,LC,YearNum,Isused,Used_Stat
AT-Neu,47.1167,11.3175,2003,2012,2007,GRA,10,1,
AU-DaP,-14.0633,131.3181,2007,2013,2010,GRA,7,1,
AU-DaS,-14.1593,131.3881,2008,2014,2011,SAV,7,1,
AU-Dry,-15.2588,132.3706,2008,2014,2011,SAV,7,1,
AU-Emr,-23.8587,148.4746,2011,2013,2012,GRA,3,1,
AU-Fog,-12.5452,131.3072,2006,2008,2007,WET,3,1,
AU-Gin,-31.3764,115.7138,2011,2014,2012,WSA,4,1,
AU-How,-12.4943,131.1523,2003,2014,2008,WSA,12,1,
AU-Rig,-36.6499,145.5759,2011,2014,2012,GRA,4,1,
AU-Stp,-17.1507,133.3502,2008,2014,2011,GRA,7,1,
AU-Tum,-35.6566,148.1517,2003,2014,2008,EBF,12,1,
BE-Bra,51.3076,4.5198,2003,2014,2008,MF,12,1,
BE-Lon,50.5516,4.7461,2004,2014,2009,CRO,11,1,
BE-Vie,50.305,5.9981,2003,2014,2008,MF,12,1,
CA-NS1,55.8792,-98.4839,2003,2005,2004,ENF,3,1,
CA-NS2,55.9058,-98.5247,2003,2005,2004,ENF,3,1,
CA-NS3,55.9117,-98.3822,2003,2005,2004,ENF,3,1,
CA-NS4,55.9144,-98.3806,2003,2005,2004,ENF,3,1,
CA-NS5,55.8631,-98.485,2003,2005,2004,ENF,3,1,
CA-NS6,55.9167,-98.9644,2003,2005,2004,OSH,3,1,
CA-NS7,56.6358,-99.9483,2003,2005,2004,OSH,3,1,
CA-Qfo,49.6925,-74.3421,2003,2010,2006,ENF,8,1,
CA-SF1,54.485,-105.8176,2003,2006,2004,ENF,4,1,
CA-SF2,54.2539,-105.8775,2003,2005,2004,ENF,3,1,
CA-SF3,54.0916,-106.0053,2003,2006,2004,OSH,4,1,
CH-Cha,47.2102,8.4104,2005,2014,2009,GRA,10,1,
CH-Dav,46.8153,9.8559,2003,2014,2008,ENF,12,1,
CH-Fru,47.1158,8.5378,2005,2014,2009,GRA,10,1,
CH-Lae,47.4781,8.365,2004,2014,2009,MF,11,1,
CH-Oe1,47.2858,7.7319,2003,2008,2005,GRA,6,1,
CH-Oe2,47.2863,7.7343,2004,2014,2009,CRO,11,1,
CN-Cng,44.5934,123.5092,2007,2010,2008,GRA,4,1,
CZ-BK1,49.5021,18.5369,2004,2008,2006,ENF,5,1,
CZ-wet,49.0247,14.7704,2006,2014,2010,WET,9,1,
DE-Akm,53.8662,13.6834,2009,2014,2011,WET,6,1,
DE-Geb,51.1001,10.9143,2003,2014,2008,CRO,12,1,
DE-Gri,50.95,13.5126,2004,2014,2009,GRA,11,1,
DE-Hai,51.0792,10.453,2003,2012,2007,DBF,10,1,
DE-Kli,50.8931,13.5224,2004,2014,2009,CRO,11,1,
DE-Lkb,49.0996,13.3047,2009,2013,2011,ENF,5,1,
DE-Obe,50.7867,13.7213,2008,2014,2011,ENF,7,1,
DE-RuR,50.6219,6.3041,2011,2014,2012,GRA,4,1,
DE-RuS,50.8659,6.4472,2011,2014,2012,CRO,4,1,
DE-Seh,50.8706,6.4497,2007,2010,2008,CRO,4,1,
DE-SfN,47.8064,11.3275,2012,2014,2013,WET,3,1,
DE-Spw,51.8923,14.0337,2010,2014,2012,WET,5,1,
DE-Tha,50.9624,13.5652,2003,2014,2008,ENF,12,1,
DK-NuF,64.1308,-51.3861,2008,2014,2011,WET,7,1,
DK-Sor,55.4859,11.6446,2003,2014,2008,DBF,12,1,
DK-ZaH,74.4733,-20.5503,2003,2014,2008,GRA,12,1,
ES-LgS,37.0979,-2.9658,2007,2009,2008,OSH,3,1,
FI-Hyy,61.8474,24.2948,2003,2014,2008,ENF,12,1,
FI-Lom,67.9972,24.2092,2007,2009,2008,WET,3,1,
FI-Sod,67.3624,26.6386,2003,2014,2008,ENF,12,1,
FR-Fon,48.4764,2.7801,2005,2014,2009,DBF,10,1,
FR-Gri,48.8442,1.9519,2004,2013,2008,CRO,10,1,
FR-LBr,44.7171,-0.7693,2003,2008,2005,ENF,6,1,
FR-Pue,43.7413,3.5957,2003,2014,2008,EBF,12,1,
GF-Guy,5.2788,-52.9249,2004,2014,2009,EBF,11,1,
IT-BCi,40.5238,14.9574,2004,2014,2009,CRO,11,1,
IT-CA1,42.3804,12.0266,2011,2014,2012,DBF,4,1,
IT-CA2,42.3772,12.026,2011,2014,2012,CRO,4,1,
IT-CA3,42.38,12.0222,2011,2014,2012,DBF,4,1,
IT-Col,41.8494,13.5881,2003,2014,2008,DBF,12,1,
IT-Lav,45.9562,11.2813,2003,2014,2008,ENF,12,1,
IT-MBo,46.0147,11.0458,2003,2013,2008,GRA,11,1,
IT-Noe,40.6062,8.1512,2004,2014,2009,CSH,11,1,
IT-Ren,46.5869,11.4337,2003,2013,2008,ENF,11,1,
IT-Ro1,42.4081,11.93,2003,2008,2005,DBF,6,1,
IT-Ro2,42.3903,11.9209,2003,2012,2007,DBF,10,1,
IT-SRo,43.7279,10.2844,2003,2012,2007,ENF,10,1,
IT-Tor,45.8444,7.5781,2008,2014,2011,GRA,7,1,
JP-SMF,35.2617,137.0788,2003,2006,2004,MF,4,1,
NL-Hor,52.2404,5.0713,2004,2011,2007,GRA,8,1,
NL-Loo,52.1666,5.7436,2003,2013,2008,ENF,11,1,
RU-Cok,70.8291,147.4943,2003,2014,2008,OSH,12,1,
RU-Fyo,56.4615,32.9221,2003,2014,2008,ENF,12,1,
US-AR1,36.4267,-99.42,2009,2012,2010,GRA,4,1,
US-AR2,36.6358,-99.5975,2009,2012,2010,GRA,4,1,
US-ARM,36.6058,-97.4888,2003,2012,2007,CRO,10,1,
US-Blo,38.8953,-120.6328,2003,2007,2005,ENF,5,1,
US-GLE,41.3665,-106.2399,2004,2014,2009,ENF,11,1,
US-Ha1,42.5378,-72.1715,2003,2012,2007,DBF,10,1,
US-Los,46.0827,-89.9792,2003,2014,2008,WET,12,1,
US-MMS,39.3232,-86.4131,2003,2014,2008,DBF,12,1,
US-Me2,44.4523,-121.5574,2003,2014,2008,ENF,12,1,
US-Me6,44.3233,-121.6078,2010,2014,2012,ENF,5,1,
US-Myb,38.0498,-121.7651,2010,2014,2012,WET,5,1,
US-NR1,40.0329,-105.5464,2003,2014,2008,ENF,12,1,
US-Ne1,41.1651,-96.4766,2003,2013,2008,CRO,11,1,
US-Ne2,41.1649,-96.4701,2003,2013,2008,CRO,11,1,
US-Ne3,41.1797,-96.4397,2003,2013,2008,CRO,11,1,
US-PFa,45.9459,-90.2723,2003,2014,2008,MF,12,1,
US-SRG,31.7894,-110.8277,2008,2014,2011,GRA,7,1,
US-SRM,31.8214,-110.8661,2004,2014,2009,WSA,11,1,
US-Syv,46.242,-89.3477,2003,2014,2008,MF,12,1,
US-Ton,38.4316,-120.966,2003,2014,2008,WSA,12,1,
US-Tw1,38.1074,-121.6469,2012,2014,2013,WET,3,1,
US-Twt,38.1087,-121.653,2009,2014,2011,CRO,6,1,
US-UMB,45.5598,-84.7138,2003,2014,2008,DBF,12,1,
US-UMd,45.5625,-84.6975,2007,2014,2010,DBF,8,1,
US-Var,38.4133,-120.9507,2003,2014,2008,GRA,12,1,
US-WCr,45.8059,-90.0799,2003,2014,2008,DBF,12,1,
US-Whs,31.7438,-110.0522,2007,2014,2010,OSH,8,1,
US-Wkg,31.7365,-109.9419,2003,2010,2006,SAV,8,1,
ZA-Kru,-25.0197,31.4969,2003,2009,2006,DBF,7,1,
